instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
8707,03-01-2012,1,1,1,14,0,2,1,1,0.16,0.1212,0.43,0.5224,7,72,79
8708,03-01-2012,1,1,1,15,0,2,1,1,0.16,0.1212,0.37,0.4179,9,68,77
8709,03-01-2012,1,1,1,16,0,2,1,1,0.14,0.0909,0.39,0.5821,7,129,136
8710,03-01-2012,1,1,1,17,0,2,1,1,0.14,0.1061,0.26,0.4627,4,241,245
8711,03-01-2012,1,1,1,18,0,2,1,1,0.14,0.0909,0.26,0.5224,10,214,224
8712,03-01-2012,1,1,1,19,0,2,1,1,0.12,0.0909,0.28,0.4179,4,152,156
8713,03-01-2012,1,1,1,20,0,2,1,1,0.12,0.1212,0.33,0.2537,0,115,115
8714,03-01-2012,1,1,1,21,0,2,1,1,0.1,0.1061,0.36,0.2239,2,66,68
8715,03-01-2012,1,1,1,22,0,2,1,1,0.1,0.1061,0.46,0.2537,0,33,33
8716,03-01-2012,1,1,1,23,0,2,1,1,0.1,0.0758,0.46,0.3881,0,18,18
8717,04-01-2012,1,1,1,0,0,3,1,1,0.08,0.0606,0.42,0.3284,0,9,9
8718,04-01-2012,1,1,1,1,0,3,1,1,0.04,0.0303,0.38,0.2985,0,3,3
8719,04-01-2012,1,1,1,2,0,3,1,1,0.02,0.0152,0.34,0.2836,0,1,1
8720,04-01-2012,1,1,1,3,0,3,1,1,0.02,0.0152,0.34,0.2836,0,1,1
8721,04-01-2012,1,1,1,4,0,3,1,1,0.02,0.0455,0.41,0.194,0,2,2
8722,04-01-2012,1,1,1,5,0,3,1,1,0.02,0.0455,0.41,0.194,0,14,14
8723,04-01-2012,1,1,1,6,0,3,1,1,0.02,0.0455,0.41,0.1642,0,59,59
8724,04-01-2012,1,1,1,7,0,3,1,1,0.02,0.0455,0.44,0.194,1,151,152
8725,04-01-2012,1,1,1,8,0,3,1,1,0.02,0.0606,0.44,0.1343,5,310,315
8726,04-01-2012,1,1,1,9,0,3,1,1,0.04,0.0606,0.45,0.1343,7,173,180
8727,04-01-2012,1,1,1,10,0,3,1,1,0.06,0.1061,0.45,0,7,57,64
8728,04-01-2012,1,1,1,11,0,3,1,2,0.08,0.1212,0.42,0.0896,6,40,46
8729,04-01-2012,1,1,1,12,0,3,1,2,0.1,0.1061,0.46,0.194,9,75,84
8730,04-01-2012,1,1,1,13,0,3,1,2,0.14,0.1212,0.43,0.2537,9,82,91
8731,04-01-2012,1,1,1,14,0,3,1,2,0.14,0.1212,0.46,0.2537,6,69,75
8732,04-01-2012,1,1,1,15,0,3,1,2,0.18,0.1515,0.37,0.3284,9,81,90
8733,04-01-2012,1,1,1,16,0,3,1,2,0.18,0.1667,0.4,0.2836,8,123,131
8734,04-01-2012,1,1,1,17,0,3,1,2,0.2,0.197,0.4,0.194,9,272,281
8735,04-01-2012,1,1,1,18,0,3,1,2,0.2,0.2121,0.37,0.1343,9,280,289
8736,04-01-2012,1,1,1,19,0,3,1,2,0.2,0.2273,0.4,0.1045,2,182,184
8737,04-01-2012,1,1,1,20,0,3,1,2,0.2,0.197,0.4,0.194,2,121,123
8738,04-01-2012,1,1,1,21,0,3,1,2,0.2,0.2576,0.44,0,2,88,90
8739,04-01-2012,1,1,1,22,0,3,1,2,0.2,0.2273,0.47,0.0896,4,48,52
8740,04-01-2012,1,1,1,23,0,3,1,2,0.2,0.2273,0.44,0.1045,0,32,32
8741,05-01-2012,1,1,1,0,0,4,1,2,0.22,0.2273,0.47,0.194,1,13,14
8742,05-01-2012,1,1,1,1,0,4,1,1,0.2,0.2273,0.51,0.0896,0,5,5
8743,05-01-2012,1,1,1,2,0,4,1,1,0.2,0.2273,0.51,0.0896,0,4,4
8744,05-01-2012,1,1,1,3,0,4,1,1,0.2,0.2576,0.61,0,0,4,4
8745,05-01-2012,1,1,1,4,0,4,1,2,0.2,0.2273,0.59,0.0896,0,5,5
8746,05-01-2012,1,1,1,5,0,4,1,2,0.2,0.2273,0.59,0.0896,0,26,26
8747,05-01-2012,1,1,1,6,0,4,1,2,0.2,0.2121,0.75,0.1343,0,78,78
8748,05-01-2012,1,1,1,7,0,4,1,2,0.2,0.2273,0.69,0.0896,3,212,215
8749,05-01-2012,1,1,1,8,0,4,1,2,0.2,0.2576,0.75,0,11,377,388
8750,05-01-2012,1,1,1,9,0,4,1,2,0.22,0.2727,0.69,0,7,220,227
8751,05-01-2012,1,1,1,10,0,4,1,2,0.24,0.2576,0.52,0.0896,5,81,86
8752,05-01-2012,1,1,1,11,0,4,1,1,0.3,0.3333,0.49,0,6,78,84
8753,05-01-2012,1,1,1,12,0,4,1,1,0.3,0.2879,0.49,0.2537,6,114,120
8754,05-01-2012,1,1,1,13,0,4,1,1,0.34,0.303,0.42,0.2985,6,112,118
8755,05-01-2012,1,1,1,14,0,4,1,1,0.34,0.3182,0.39,0.2836,13,104,117
8756,05-01-2012,1,1,1,15,0,4,1,1,0.36,0.3333,0.34,0.2836,6,113,119
8757,05-01-2012,1,1,1,16,0,4,1,1,0.36,0.3333,0.34,0.2836,19,178,197
8758,05-01-2012,1,1,1,17,0,4,1,2,0.36,0.3485,0.34,0.194,19,393,412
8759,05-01-2012,1,1,1,18,0,4,1,1,0.34,0.3333,0.36,0.1642,9,374,383
8760,05-01-2012,1,1,1,19,0,4,1,1,0.34,0.3485,0.34,0.0896,10,255,265
8761,05-01-2012,1,1,1,20,0,4,1,1,0.3,0.3333,0.49,0,5,172,177
8762,05-01-2012,1,1,1,21,0,4,1,1,0.26,0.2727,0.6,0.1343,9,88,97
8763,05-01-2012,1,1,1,22,0,4,1,1,0.26,0.2576,0.6,0.1642,1,70,71
8764,05-01-2012,1,1,1,23,0,4,1,1,0.24,0.2576,0.7,0.1045,4,56,60
8765,06-01-2012,1,1,1,0,0,5,1,1,0.22,0.2576,0.75,0.0896,1,24,25
8766,06-01-2012,1,1,1,1,0,5,1,1,0.22,0.2727,0.75,0,2,6,8
8767,06-01-2012,1,1,1,2,0,5,1,1,0.22,0.2273,0.69,0.1642,2,3,5
8768,06-01-2012,1,1,1,3,0,5,1,1,0.22,0.2424,0.69,0.1045,1,3,4
8769,06-01-2012,1,1,1,4,0,5,1,1,0.22,0.2273,0.69,0.1343,0,3,3
8770,06-01-2012,1,1,1,5,0,5,1,2,0.2,0.2121,0.8,0.1343,0,13,13
8771,06-01-2012,1,1,1,6,0,5,1,2,0.22,0.2424,0.73,0.1045,1,69,70
8772,06-01-2012,1,1,1,7,0,5,1,2,0.24,0.2879,0.65,0,4,201,205
8773,06-01-2012,1,1,1,8,0,5,1,1,0.24,0.2424,0.7,0.1343,11,436,447
8774,06-01-2012,1,1,1,9,0,5,1,1,0.24,0.2424,0.7,0.1642,4,237,241
8775,06-01-2012,1,1,1,10,0,5,1,1,0.26,0.2576,0.65,0.194,14,102,116
8776,06-01-2012,1,1,1,11,0,5,1,1,0.3,0.303,0.56,0.1642,8,130,138
8777,06-01-2012,1,1,1,12,0,5,1,1,0.36,0.3333,0.5,0.2537,23,168,191
8778,06-01-2012,1,1,1,13,0,5,1,1,0.4,0.4091,0.43,0.2836,16,188,204
8779,06-01-2012,1,1,1,14,0,5,1,1,0.46,0.4545,0.36,0.194,26,152,178
8780,06-01-2012,1,1,1,15,0,5,1,1,0.52,0.5,0.27,0.2537,44,178,222
8781,06-01-2012,1,1,1,16,0,5,1,1,0.52,0.5,0.27,0.2836,35,259,294
8782,06-01-2012,1,1,1,17,0,5,1,1,0.46,0.4545,0.36,0.2239,20,456,476
8783,06-01-2012,1,1,1,18,0,5,1,1,0.5,0.4848,0.29,0.2537,28,391,419
8784,06-01-2012,1,1,1,19,0,5,1,1,0.46,0.4545,0.33,0.2836,11,261,272
8785,06-01-2012,1,1,1,20,0,5,1,1,0.42,0.4242,0.41,0.194,14,163,177
8786,06-01-2012,1,1,1,21,0,5,1,1,0.4,0.4091,0.43,0.2239,17,137,154
8787,06-01-2012,1,1,1,22,0,5,1,1,0.36,0.3485,0.5,0.194,12,123,135
8788,06-01-2012,1,1,1,23,0,5,1,1,0.36,0.3788,0.5,0,13,88,101
8789,07-01-2012,1,1,1,0,0,6,0,1,0.36,0.3485,0.5,0.1642,2,77,79
8790,07-01-2012,1,1,1,1,0,6,0,1,0.38,0.3939,0.46,0.1642,6,56,62
8791,07-01-2012,1,1,1,2,0,6,0,1,0.36,0.3636,0.5,0.1045,2,36,38
8792,07-01-2012,1,1,1,3,0,6,0,1,0.32,0.3333,0.57,0.1045,1,19,20
8793,07-01-2012,1,1,1,4,0,6,0,1,0.32,0.3333,0.57,0.0896,1,9,10
8794,07-01-2012,1,1,1,5,0,6,0,1,0.26,0.2727,0.75,0.1045,2,7,9
8795,07-01-2012,1,1,1,6,0,6,0,1,0.26,0.2727,0.75,0.1045,0,7,7
8796,07-01-2012,1,1,1,7,0,6,0,1,0.22,0.2273,0.87,0.194,0,20,20
8797,07-01-2012,1,1,1,8,0,6,0,1,0.24,0.2576,0.75,0.1045,0,64,64
8798,07-01-2012,1,1,1,9,0,6,0,1,0.22,0.2273,0.8,0.1343,14,116,130
8799,07-01-2012,1,1,1,10,0,6,0,1,0.28,0.303,0.75,0.0896,43,160,203
8800,07-01-2012,1,1,1,11,0,6,0,1,0.34,0.3182,0.57,0.2239,74,250,324
8801,07-01-2012,1,1,1,12,0,6,0,1,0.4,0.4091,0.43,0.2239,100,276,376
8802,07-01-2012,1,1,1,13,0,6,0,1,0.44,0.4394,0.44,0.194,149,296,445
8803,07-01-2012,1,1,1,14,0,6,0,1,0.5,0.4848,0.42,0.2836,156,356,512
8804,07-01-2012,1,1,1,15,0,6,0,1,0.58,0.5455,0.37,0.2985,132,317,449
8805,07-01-2012,1,1,1,16,0,6,0,2,0.56,0.5303,0.37,0.2836,133,268,401
8806,07-01-2012,1,1,1,17,0,6,0,2,0.54,0.5152,0.43,0.1343,87,235,322
8807,07-01-2012,1,1,1,18,0,6,0,1,0.54,0.5152,0.45,0.1343,49,248,297
8808,07-01-2012,1,1,1,19,0,6,0,1,0.52,0.5,0.42,0.1045,44,171,215
8809,07-01-2012,1,1,1,20,0,6,0,1,0.5,0.4848,0.39,0.2537,21,149,170
8810,07-01-2012,1,1,1,21,0,6,0,1,0.44,0.4394,0.44,0.2239,22,118,140
8811,07-01-2012,1,1,1,22,0,6,0,1,0.44,0.4394,0.38,0.2537,16,93,109
8812,07-01-2012,1,1,1,23,0,6,0,1,0.42,0.4242,0.38,0.2239,16,103,119
8813,08-01-2012,1,1,1,0,0,0,0,1,0.38,0.3939,0.4,0.2836,14,77,91
8814,08-01-2012,1,1,1,1,0,0,0,1,0.34,0.3333,0.42,0.194,10,62,72
8815,08-01-2012,1,1,1,2,0,0,0,1,0.36,0.3333,0.37,0.2836,10,57,67
8816,08-01-2012,1,1,1,3,0,0,0,1,0.34,0.3333,0.42,0.1343,6,26,32
8817,08-01-2012,1,1,1,4,0,0,0,1,0.32,0.303,0.49,0.2537,2,4,6
8818,08-01-2012,1,1,1,5,0,0,0,2,0.32,0.3333,0.49,0.1045,0,2,2
8819,08-01-2012,1,1,1,6,0,0,0,2,0.3,0.3333,0.52,0,0,2,2
8820,08-01-2012,1,1,1,7,0,0,0,2,0.3,0.3333,0.52,0,1,23,24
8821,08-01-2012,1,1,1,8,0,0,0,1,0.3,0.303,0.52,0.1343,4,53,57
8822,08-01-2012,1,1,1,9,0,0,0,1,0.32,0.3333,0.53,0.1343,23,102,125
8823,08-01-2012,1,1,1,10,0,0,0,1,0.34,0.3333,0.49,0.1642,27,181,208
8824,08-01-2012,1,1,1,11,0,0,0,1,0.36,0.3485,0.46,0.2239,55,201,256
8825,08-01-2012,1,1,1,12,0,0,0,1,0.38,0.3939,0.43,0.2239,78,273,351
8826,08-01-2012,1,1,1,13,0,0,0,1,0.4,0.4091,0.37,0.2985,77,266,343
8827,08-01-2012,1,1,1,14,0,0,0,1,0.4,0.4091,0.4,0.194,75,253,328
8828,08-01-2012,1,1,1,15,0,0,0,1,0.4,0.4091,0.37,0.2836,89,241,330
8829,08-01-2012,1,1,1,16,0,0,0,1,0.4,0.4091,0.37,0.2985,58,256,314
8830,08-01-2012,1,1,1,17,0,0,0,1,0.38,0.3939,0.4,0.2239,22,197,219
8831,08-01-2012,1,1,1,18,0,0,0,1,0.34,0.3182,0.46,0.2239,19,162,181
8832,08-01-2012,1,1,1,19,0,0,0,1,0.32,0.3182,0.49,0.194,8,104,112
8833,08-01-2012,1,1,1,20,0,0,0,1,0.3,0.303,0.52,0.1642,7,119,126
8834,08-01-2012,1,1,1,21,0,0,0,1,0.28,0.2727,0.56,0.2239,10,81,91
8835,08-01-2012,1,1,1,22,0,0,0,1,0.26,0.2727,0.6,0.1045,4,54,58
8836,08-01-2012,1,1,1,23,0,0,0,1,0.26,0.2424,0.56,0.2537,0,30,30
8837,09-01-2012,1,1,1,0,0,1,1,1,0.24,0.2273,0.6,0.2239,3,12,15
8838,09-01-2012,1,1,1,1,0,1,1,1,0.24,0.2424,0.6,0.1343,1,4,5
8839,09-01-2012,1,1,1,2,0,1,1,1,0.24,0.2424,0.56,0.1343,2,3,5
8840,09-01-2012,1,1,1,3,0,1,1,1,0.24,0.2424,0.52,0.1642,0,3,3
8841,09-01-2012,1,1,1,4,0,1,1,1,0.22,0.2424,0.64,0.1045,0,4,4
8842,09-01-2012,1,1,1,5,0,1,1,2,0.2,0.2273,0.64,0.0896,0,21,21
8843,09-01-2012,1,1,1,6,0,1,1,2,0.22,0.2273,0.6,0.1343,3,85,88
8844,09-01-2012,1,1,1,7,0,1,1,2,0.22,0.2424,0.6,0.1045,1,239,240
8845,09-01-2012,1,1,1,8,0,1,1,2,0.22,0.2576,0.55,0.0896,13,407,420
8846,09-01-2012,1,1,1,9,0,1,1,2,0.22,0.2727,0.64,0,9,188,197
8847,09-01-2012,1,1,1,10,0,1,1,1,0.24,0.2879,0.6,0,13,95,108
8848,09-01-2012,1,1,1,11,0,1,1,2,0.26,0.2879,0.56,0.0896,6,82,88
8849,09-01-2012,1,1,1,12,0,1,1,2,0.26,0.2727,0.56,0.1045,10,93,103
8850,09-01-2012,1,1,1,13,0,1,1,2,0.26,0.2727,0.56,0.1045,3,77,80
8851,09-01-2012,1,1,1,14,0,1,1,3,0.22,0.2273,0.75,0.1642,5,45,50
8852,09-01-2012,1,1,1,15,0,1,1,3,0.22,0.2273,0.75,0.1642,5,64,69
8853,09-01-2012,1,1,1,16,0,1,1,3,0.22,0.2576,0.87,0.0896,3,46,49
8854,09-01-2012,1,1,1,17,0,1,1,3,0.22,0.2727,0.87,0,5,147,152
8855,09-01-2012,1,1,1,18,0,1,1,4,0.2,0.2273,0.86,0.0896,6,158,164
8856,09-01-2012,1,1,1,19,0,1,1,3,0.2,0.2273,0.93,0.0896,3,187,190
8857,09-01-2012,1,1,1,20,0,1,1,2,0.2,0.2273,0.86,0.0896,5,127,132
8858,09-01-2012,1,1,1,21,0,1,1,2,0.2,0.2576,0.93,0,1,78,79
8859,09-01-2012,1,1,1,22,0,1,1,2,0.2,0.2273,0.92,0.1045,8,54,62
8860,09-01-2012,1,1,1,23,0,1,1,2,0.22,0.2424,0.87,0.1045,1,51,52
8861,10-01-2012,1,1,1,0,0,2,1,2,0.22,0.2424,0.87,0.1045,0,14,14
8862,10-01-2012,1,1,1,1,0,2,1,2,0.22,0.2424,0.93,0.1045,2,3,5
8863,10-01-2012,1,1,1,2,0,2,1,2,0.22,0.2273,0.87,0.1642,2,2,4
8864,10-01-2012,1,1,1,4,0,2,1,2,0.2,0.2121,0.86,0.1642,0,4,4
8865,10-01-2012,1,1,1,5,0,2,1,1,0.4,0.4091,0.47,0.2239,0,23,23
8866,10-01-2012,1,1,1,6,0,2,1,2,0.18,0.1818,0.93,0.194,0,79,79
8867,10-01-2012,1,1,1,7,0,2,1,2,0.18,0.197,0.93,0.1642,3,219,222
8868,10-01-2012,1,1,1,8,0,2,1,2,0.18,0.197,0.93,0.1642,6,465,471
8869,10-01-2012,1,1,1,9,0,2,1,2,0.18,0.197,0.93,0.1642,11,184,195
8870,10-01-2012,1,1,1,10,0,2,1,2,0.18,0.197,0.93,0.1642,3,80,83
8871,10-01-2012,1,1,1,11,0,2,1,1,0.42,0.4242,0.38,0.2985,8,93,101
8872,10-01-2012,1,1,1,12,0,2,1,1,0.42,0.4242,0.38,0.2985,13,127,140
8873,10-01-2012,1,1,1,13,0,2,1,1,0.42,0.4242,0.38,0.2985,15,163,178
8874,10-01-2012,1,1,1,14,0,2,1,1,0.42,0.4242,0.38,0.2985,10,96,106
8875,10-01-2012,1,1,1,15,0,2,1,1,0.42,0.4242,0.38,0.2985,17,119,136
8876,10-01-2012,1,1,1,16,0,2,1,1,0.42,0.4242,0.38,0.3582,15,225,240
8877,10-01-2012,1,1,1,17,0,2,1,1,0.42,0.4242,0.38,0.2537,14,446,460
8878,10-01-2012,1,1,1,18,0,2,1,1,0.4,0.4091,0.4,0.1045,13,372,385
8879,10-01-2012,1,1,1,19,0,2,1,1,0.38,0.3939,0.46,0.1045,11,270,281
8880,10-01-2012,1,1,1,20,0,2,1,1,0.34,0.3485,0.53,0.1045,10,190,200
8881,10-01-2012,1,1,1,21,0,2,1,1,0.32,0.3333,0.66,0.0896,7,109,116
8882,10-01-2012,1,1,1,22,0,2,1,1,0.3,0.303,0.7,0.0896,10,104,114
8883,10-01-2012,1,1,1,23,0,2,1,1,0.26,0.2727,0.81,0.1045,3,38,41
8884,11-01-2012,1,1,1,0,0,3,1,1,0.26,0.303,0.81,0,2,26,28
8885,11-01-2012,1,1,1,1,0,3,1,1,0.24,0.2576,0.87,0.0896,1,6,7
8886,11-01-2012,1,1,1,2,0,3,1,1,0.2,0.2121,0.85,0.1642,0,5,5
8887,11-01-2012,1,1,1,3,0,3,1,1,0.22,0.2727,0.8,0,0,4,4
8888,11-01-2012,1,1,1,4,0,3,1,1,0.2,0.2121,0.8,0.1343,0,2,2
8889,11-01-2012,1,1,1,5,0,3,1,1,0.2,0.2121,0.8,0.1343,0,22,22
8890,11-01-2012,1,1,1,6,0,3,1,1,0.2,0.2121,0.86,0.1343,2,72,74
8891,11-01-2012,1,1,1,7,0,3,1,1,0.2,0.2121,0.8,0.1343,9,247,256
8892,11-01-2012,1,1,1,8,0,3,1,1,0.2,0.2273,0.82,0.1045,11,488,499
8893,11-01-2012,1,1,1,9,0,3,1,2,0.2,0.2121,0.86,0.1343,7,218,225
8894,11-01-2012,1,1,1,10,0,3,1,2,0.24,0.2424,0.87,0.1343,13,84,97
8895,11-01-2012,1,1,1,11,0,3,1,2,0.26,0.2879,0.87,0.0896,9,90,99
8896,11-01-2012,1,1,1,12,0,3,1,3,0.3,0.3333,0.81,0,4,51,55
8897,11-01-2012,1,1,1,13,0,3,1,3,0.32,0.3485,0.76,0,8,57,65
8898,11-01-2012,1,1,1,14,0,3,1,3,0.32,0.3333,0.81,0.1045,3,70,73
8899,11-01-2012,1,1,1,15,0,3,1,2,0.34,0.3485,0.87,0.0896,6,73,79
8900,11-01-2012,1,1,1,16,0,3,1,2,0.34,0.3182,0.87,0.2537,6,112,118
8901,11-01-2012,1,1,1,17,0,3,1,3,0.34,0.3182,0.87,0.2239,6,128,134
8902,11-01-2012,1,1,1,18,0,3,1,3,0.34,0.3333,0.87,0.194,2,96,98
8903,11-01-2012,1,1,1,19,0,3,1,3,0.32,0.303,0.93,0.2239,1,92,93
8904,11-01-2012,1,1,1,20,0,3,1,3,0.32,0.3182,0.93,0.1642,2,55,57
8905,11-01-2012,1,1,1,21,0,3,1,3,0.34,0.3182,0.87,0.2239,0,29,29
8906,11-01-2012,1,1,1,22,0,3,1,3,0.34,0.3333,0.87,0.194,0,49,49
8907,11-01-2012,1,1,1,23,0,3,1,3,0.34,0.3182,0.87,0.2239,0,9,9
8908,12-01-2012,1,1,1,0,0,4,1,3,0.34,0.3333,0.93,0.194,0,3,3
8909,12-01-2012,1,1,1,1,0,4,1,3,0.36,0.3485,0.93,0.194,0,3,3
8910,12-01-2012,1,1,1,2,0,4,1,3,0.36,0.3485,0.93,0.2537,1,1,2
8911,12-01-2012,1,1,1,3,0,4,1,3,0.36,0.3485,0.93,0.2537,0,3,3
8912,12-01-2012,1,1,1,4,0,4,1,3,0.36,0.3485,0.93,0.194,0,2,2
8913,12-01-2012,1,1,1,5,0,4,1,3,0.34,0.3485,0.93,0.0896,0,16,16
8914,12-01-2012,1,1,1,6,0,4,1,3,0.36,0.3485,0.93,0.1343,1,88,89
8915,12-01-2012,1,1,1,7,0,4,1,2,0.34,0.3182,0.87,0.2836,2,218,220
8916,12-01-2012,1,1,1,8,0,4,1,1,0.32,0.3182,0.81,0.194,11,497,508
8917,12-01-2012,1,1,1,9,0,4,1,1,0.32,0.3333,0.81,0.1045,10,220,230
8918,12-01-2012,1,1,1,10,0,4,1,1,0.34,0.3485,0.81,0.1045,6,84,90
8919,12-01-2012,1,1,1,11,0,4,1,2,0.34,0.3485,0.81,0.1045,18,101,119
8920,12-01-2012,1,1,1,12,0,4,1,2,0.34,0.3485,0.81,0.1045,14,130,144
8921,12-01-2012,1,1,1,13,0,4,1,1,0.42,0.4242,0.77,0.1642,13,170,183
8922,12-01-2012,1,1,1,14,0,4,1,1,0.42,0.4242,0.77,0.1642,24,132,156
8923,12-01-2012,1,1,1,15,0,4,1,1,0.44,0.4394,0.72,0.1343,32,156,188
8924,12-01-2012,1,1,1,16,0,4,1,1,0.46,0.4545,0.67,0.194,33,248,281
